team,team_name,current_points,remaining_events,current_epa_mean,current_epa_norm,qualified_for_dcmp,current_epa,raw_prob,mean_final_points,p10_points,p50_points,p90_points,mean_rank,mean_margin_to_cutline,award_adjustment,calibrated_prob,points_only_rank,rank_delta_vs_points_only,top_swing_event_name,top_swing_event_qual_swing,probability_rank,tier,impact_worst_case_prob,impact_worst_case_delta
949,Wolverine Robotics,40.0,0.0,43.13,1513.0,False,43.13,0.0,40.0,40.0,40.0,40.0,90.0,0.0,0.0,0.0,89,-1,,0.0,90,No way,0.0,0.0
3574,HIGH TEKERZ,40.0,0.0,10.74,1398.0,False,10.74,0.0,40.0,40.0,40.0,40.0,89.0,0.0,0.0,0.0,91,0,,0.0,91,No way,0.0,0.0
4682,CyBears,39.0,0.0,37.87,1499.0,False,37.87,0.0,39.0,39.0,39.0,39.0,92.0,-1.0,0.0,0.0,92,0,,0.0,92,No way,0.0,0.0
8532,Classified,38.0,0.0,57.3,1547.0,False,57.3,0.0,38.0,38.0,38.0,38.0,93.0,-2.0,0.0,0.0,93,0,,0.0,93,No way,0.0,0.0
10423,CB Tech,38.0,0.0,48.69,1526.0,False,48.69,0.0,38.0,38.0,38.0,38.0,94.0,-2.0,0.0,0.0,94,0,,0.0,94,No way,0.0,0.0
2147,CHUCK,37.0,0.0,58.09,1548.0,False,58.09,0.0,37.0,37.0,37.0,37.0,95.0,-3.0,0.0,0.0,95,0,,0.0,95,No way,0.0,0.0
9442,Miso Mechanics,36.0,0.0,32.55,1484.0,False,32.55,0.0,36.0,36.0,36.0,36.0,96.0,-4.0,0.0,0.0,96,0,,0.0,96,No way,0.0,0.0
749,Ctrl V,35.0,0.0,46.48,1521.0,False,46.48,0.0,35.0,35.0,35.0,35.0,98.0,-5.0,0.0,0.0,97,0,,0.0,97,No way,0.0,0.0
2906,Sentinel Prime Robotics,35.0,0.0,37.56,1498.0,False,37.56,0.0,35.0,35.0,35.0,35.0,99.0,-5.0,0.0,0.0,98,0,,0.0,98,No way,0.0,0.0
8302,⚡️ Ｎｉ-ＴＲＯ  ⚡️,35.0,0.0,32.49,1484.0,False,32.49,0.0,35.0,35.0,35.0,35.0,97.0,-5.0,0.0,0.0,99,0,,0.0,99,No way,0.0,0.0
4180,Iron Riders,32.0,0.0,38.72,1501.0,False,38.72,0.0,32.0,32.0,32.0,32.0,100.0,-8.0,0.0,0.0,100,0,,0.0,100,No way,0.0,0.0
2557,SOTAbots,30.0,0.0,55.73,1543.0,False,55.73,0.0,30.0,30.0,30.0,30.0,101.0,-10.0,0.0,0.0,101,0,,0.0,101,No way,0.0,0.0
3049,BremerTron,29.0,0.0,36.25,1495.0,False,36.25,0.0,29.0,29.0,29.0,29.0,103.0,-11.0,0.0,0.0,102,0,,0.0,102,No way,0.0,0.0
2980,Whidbey Island Wildcats,29.0,0.0,35.43,1492.0,False,35.43,0.0,29.0,29.0,29.0,29.0,104.0,-11.0,0.0,0.0,103,0,,0.0,103,No way,0.0,0.0
5683,R.A.V.E.N.,29.0,0.0,22.02,1449.0,False,22.02,0.0,29.0,29.0,29.0,29.0,102.0,-11.0,0.0,0.0,104,0,,0.0,104,No way,0.0,0.0
2929,Emeral Ridge JAGBOTS,25.0,0.0,24.88,1460.0,False,24.88,0.0,25.0,25.0,25.0,25.0,106.0,-15.0,0.0,0.0,105,0,,0.0,105,No way,0.0,0.0
6845,River Bots,25.0,0.0,24.91,1460.0,False,24.91,0.0,25.0,25.0,25.0,25.0,105.0,-15.0,0.0,0.0,106,0,,0.0,106,No way,0.0,0.0
3024,My Favorite Team,25.0,0.0,14.57,1417.0,False,14.57,0.0,25.0,25.0,25.0,25.0,107.0,-15.0,0.0,0.0,107,0,,0.0,107,No way,0.0,0.0
4173,Bark Bots,23.0,0.0,38.34,1500.0,False,38.34,0.0,23.0,23.0,23.0,23.0,109.0,-17.0,0.0,0.0,108,0,,0.0,108,No way,0.0,0.0
2915,Pandamonium,23.0,0.0,29.83,1476.0,False,29.83,0.0,23.0,23.0,23.0,23.0,110.0,-17.0,0.0,0.0,109,0,,0.0,109,No way,0.0,0.0
9613,Lion's Byte,23.0,0.0,22.67,1452.0,False,22.67,0.0,23.0,23.0,23.0,23.0,108.0,-17.0,0.0,0.0,110,0,,0.0,110,No way,0.0,0.0
8303,GatorBytes,23.0,0.0,13.01,1409.0,False,13.01,0.0,23.0,23.0,23.0,23.0,111.0,-17.0,0.0,0.0,111,0,,0.0,111,No way,0.0,0.0
3268,Valhallabots,22.0,0.0,31.48,1481.0,False,31.48,0.0,22.0,22.0,22.0,22.0,113.0,-18.0,0.0,0.0,112,0,,0.0,112,No way,0.0,0.0
4662,Byte Sized Robotics,22.0,0.0,23.2,1454.0,False,23.2,0.0,22.0,22.0,22.0,22.0,114.0,-18.0,0.0,0.0,113,0,,0.0,113,No way,0.0,0.0
10444,Ursa Major,22.0,0.0,12.07,1405.0,False,12.07,0.0,22.0,22.0,22.0,22.0,112.0,-18.0,0.0,0.0,114,0,,0.0,114,No way,0.0,0.0
10455,Bison Dynamics,20.0,0.0,35.5,1493.0,False,35.5,0.0,20.0,20.0,20.0,20.0,115.0,-20.0,0.0,0.0,115,0,,0.0,115,No way,0.0,0.0
3219,"TREAD (Trojan Robotics, Engineering, Art, & Design)",20.0,0.0,19.17,1438.0,False,19.17,0.0,20.0,20.0,20.0,20.0,117.0,-20.0,0.0,0.0,116,0,,0.0,116,No way,0.0,0.0
6350,Clawbots,20.0,0.0,14.85,1418.0,False,14.85,0.0,20.0,20.0,20.0,20.0,116.0,-20.0,0.0,0.0,117,0,,0.0,117,No way,0.0,0.0
6831,A-05 Annex,19.0,0.0,32.76,1485.0,False,32.76,0.0,19.0,19.0,19.0,19.0,120.0,-21.0,0.0,0.0,118,0,,0.0,118,No way,0.0,0.0
9567,StormBreakers,19.0,0.0,31.57,1481.0,False,31.57,0.0,19.0,19.0,19.0,19.0,119.0,-21.0,0.0,0.0,119,0,,0.0,119,No way,0.0,0.0
5295,Aldernating Current,19.0,0.0,30.82,1479.0,False,30.82,0.0,19.0,19.0,19.0,19.0,118.0,-21.0,0.0,0.0,120,0,,0.0,120,No way,0.0,0.0
5975,Beta Blues,18.0,0.0,25.71,1463.0,False,25.71,0.0,18.0,18.0,18.0,18.0,123.0,-22.0,0.0,0.0,121,0,,0.0,121,No way,0.0,0.0
2927,NEST Robotics,18.0,0.0,17.61,1431.0,False,17.61,0.0,18.0,18.0,18.0,18.0,122.0,-22.0,0.0,0.0,122,0,,0.0,122,No way,0.0,0.0
2550,Skynet,18.0,0.0,16.96,1428.0,False,16.96,0.0,18.0,18.0,18.0,18.0,121.0,-22.0,0.0,0.0,123,0,,0.0,123,No way,0.0,0.0
11347,Bronco Brigade,17.0,0.0,41.22,1508.0,False,41.22,0.0,17.0,17.0,17.0,17.0,124.0,-23.0,0.0,0.0,124,0,,0.0,124,No way,0.0,0.0
2733,Pigmice,17.0,0.0,38.65,1501.0,False,38.65,0.0,17.0,17.0,17.0,17.0,125.0,-23.0,0.0,0.0,125,0,,0.0,125,No way,0.0,0.0
4579,RoboEagles,14.0,0.0,16.94,1428.0,False,16.94,0.0,14.0,14.0,14.0,14.0,126.0,-26.0,0.0,0.0,126,0,,0.0,126,No way,0.0,0.0
3876,Mabton LugNutz,13.0,0.0,30.26,1477.0,False,30.26,0.0,13.0,13.0,13.0,13.0,127.0,-27.0,0.0,0.0,127,0,,0.0,127,No way,0.0,0.0
3669,CarbonKnights,8.0,0.0,45.58,1519.0,False,45.58,0.0,8.0,8.0,8.0,8.0,128.0,-32.0,0.0,0.0,128,0,,0.0,128,No way,0.0,0.0
